11,en,1
12,en,3
14,en,20
15,en,2
17,en,1
21,en,6
22,en,4
24,en,1
26,en,1
27,en,3
31,en,1
32,en,2
35,en,12
36,en,1
37,en,1
39,en,2
40,en,7
43,es,53
56,pt,11
59,es,3
61,en,7
62,en,12
65,en,3
67,en,4
68,es,1
69,es,16
70,en,4
71,en,9
74,es,34
76,en,4
78,en,29
80,en,10
81,en,7
85,en,1
86,es,53
91,en,3
98,en,11
99,fr,2
101,en,1
110,en,47
112,en,10
113,en,1
118,en,1
126,en,2
128,en,24
131,en,8
141,en,10
142,en,22
145,en,86
146,en,13
147,en,12
151,fr,38
151,en,36
155,en,31
158,pt,23
160,es,16
162,fr,3
165,en,15
172,en,12
175,en,5
182,en,16
194,en,7
204,en,19
215,fr,2
215,en,1
224,en,13
225,en,20
227,en,3
228,es,75
233,fr,14
234,en,12
237,en,8
240,en,8
242,en,76
251,ru,52
251,en,4
259,en,10
264,en,10
266,en,3
289,en,1
293,en,33
294,en,19
296,en,42
298,en,13
300,en,19
302,en,2
304,en,29
306,en,39
309,en,1
311,en,20
316,es,47
317,en,10
319,en,3
320,fr,15
320,zh-cn,5
321,en,7
322,fr,8
325,en,3
327,en,6
328,en,13
332,en,16
343,fr,1
346,en,6
352,pt,22
354,fr,15
356,de,17
359,en,1
374,en,15
377,en,11
378,en,1
380,en,48
383,en,1
388,es,7
390,es,52
397,es,8
398,es,5
400,es,18
402,en,154
404,pt,6
405,fr,18
408,es,12
411,es,2
414,en,21
416,en,2
417,en,149
419,en,51
425,en,37
426,en,7
428,es,3
429,en,2
431,en,27
433,es,9
435,en,46
441,en,1
442,fr,34
443,fr,3
444,en,4
445,de,15
446,fr,9
448,fr,1
450,en,43
451,es,18
453,en,2
454,de,20
455,fr,10
456,es,44
458,es,6
460,en,8
461,en,11
464,en,5
465,en,28
467,en,1
471,es,19
474,es,1
475,en,2
477,en,32
478,en,46
481,en,27
483,es,14
484,es,10
487,es,5
488,es,22
490,es,11
491,es,38
492,es,47
496,de,13
498,es,16
500,en,5
504,en,8
507,en,7
508,en,10
510,en,11
511,en,21
512,en,1
516,en,47
518,en,3
521,es,5
523,fr,9
524,es,7
527,es,54
533,en,6
538,en,8
539,es,11
542,en,15
544,en,3
546,en,7
548,es,10
549,en,12
550,en,27
551,en,8
553,es,11
555,es,11
556,es,30
557,en,7
559,en,13
560,en,4
561,en,15
562,en,23
565,de,8
566,en,6
568,en,7
571,en,34
573,en,10
574,en,18
575,en,30
577,en,1
586,en,5
590,pt,16
594,en,2
595,es,21
598,en,2
601,en,5
605,en,1
607,pt,2
608,es,1
621,en,3
625,es,73
628,es,72
633,es,3
639,es,15
640,es,19
645,en,8
663,fr,3
669,en,2
677,en,1
687,en,1
689,en,43
698,de,2
700,en,1
701,en,4
708,en,7
721,es,6
722,es,42
723,es,19
743,en,5
751,en,20
754,es,1
759,en,1
760,de,3
762,en,6
764,fa,243
764,en,19
766,en,5
767,en,19
805,en,4
807,en,2
834,en,1
849,en,2
856,en,2
864,fr,3
865,en,6
883,en,19
886,en,43
891,es,22
928,es,39
944,en,1
958,en,9
971,en,3
978,en,7
996,en,21
1010,en,54
1012,en,20
1016,en,10
1019,it,75
1019,en,6
1020,en,7
1022,en,31
1023,ar,62
1023,en,14
1073,es,5
1075,en,2
1090,en,2
1096,es,60
1097,es,3
1098,es,11
1102,en,4
1103,es,11
1104,es,18
1111,es,17
1112,es,35
1113,en,17
1115,en,1
1118,en,22
1125,en,1
1126,de,13
1127,es,14
1128,en,1
1128,fr,1
1129,de,33
1182,pt,30
1192,en,24
1195,pt,4
1198,fr,1
1203,es,2
1206,en,2
1214,en,29
1221,en,9
1222,ru,355
1223,en,5
1224,en,17
1225,fr,29
1226,en,5
1227,fr,1
1236,fr,12
1259,ar,13
1266,en,79
1267,ar,21
1267,en,7
1270,en,16
1278,en,12
1284,en,5
1293,en,3
1325,en,2
1353,en,1
1369,en,2
1384,es,1
1436,en,6
1468,en,25
1507,en,44
1508,en,10
1510,es,15
1512,es,45
1519,en,5
1520,en,14
1521,en,1
1522,en,30
1523,en,45
1524,en,41
1525,en,70
1526,en,10
1527,en,8
1531,en,10
1532,en,7
1533,en,10
1534,en,1
1535,en,2
1536,ru,9
1536,en,7
1540,en,5
1543,en,10
1544,en,3
1545,en,12
1547,en,1
1548,ar,72
1548,en,42
1549,en,5
1551,en,2
1552,en,9
1553,fr,20
1554,en,4
1556,en,1
1558,fr,35
1561,en,38
1565,en,2
1566,en,13
1568,en,2
1569,en,4
1572,fr,14
1573,en,13
1574,fr,2
1575,fr,14
1576,fr,6
1578,en,2
1579,en,5
1579,ar,3
1580,en,10
1581,en,2
1582,fr,9
1583,fr,7
1584,en,4
1585,en,11
1586,en,3
1587,es,17
1588,fr,25
1589,en,1
1590,es,33
1591,en,10
1592,es,15
1593,es,19
1594,es,16
1595,es,10
1596,en,3
1597,en,12
1598,es,7
1600,fr,1
1602,es,49
1604,es,12
1605,es,58
1606,es,28
1608,es,18
1609,es,9
1610,es,19
1613,es,29
1616,es,8
1618,en,2
1619,en,23
1619,fr,19
1619,es,14
1620,es,9
1621,es,6
1622,es,2
1623,en,7
1624,es,10
1627,ar,39
1627,en,1
1628,en,8
1629,en,5
1631,es,43
1635,en,5
1636,en,4
1638,en,3
1794,fr,30
1802,fr,1
1803,de,3
1804,it,1
1805,pt,4
1806,es,2
1814,fr,1
1818,ar,7
1820,ar,123
1821,ar,57
1822,ar,11
1823,ar,25
1824,ar,127
1825,ar,42
1827,ar,3
1829,ar,56
1830,ar,21
1832,es,16
1835,es,9
1838,ar,68
1839,es,86
1840,es,28
1841,es,24
1842,es,6
1844,fr,1
1845,es,21
1846,es,6
1848,es,5
1849,es,2
1850,es,68
1851,es,3
1854,es,5
1856,es,8
1876,es,36
1877,es,9
1878,es,10
1879,en,2
1880,fr,2
1881,es,7
1883,es,56
1884,es,5
1885,en,9
1885,ru,3
1886,es,1
1888,es,2
1889,es,58
1895,en,1
1896,en,4
1897,es,21
1898,ar,51
1899,ar,31
1900,ar,97
1901,ar,23
1902,en,2
1904,en,2
1905,ar,51
1907,es,8
1908,es,17
1911,es,6
1913,fr,6
1964,en,3
1966,ar,17
1967,ar,7
1968,ru,1
1969,ru,16
1969,en,4
1970,pt,7
1971,es,85
1977,fr,7
