Source 1,English,1502
Source 1,German,13
Source 1,French,0
Source 1,Italian,0
Source 1,Spanish,0
Source 1,Portuguese,0
Source 1,Russian,0
Source 1,Dutch,12
Source 1,Arabic,0
Source 1,Turkish,0
Source 1,Chinese (simplified),0
Source 1,Chinese (traditional),0
Source 1,Swedish,0
Source 1,Danish,0
Source 1,Finish,0
Source 1,Norwegian,0
Source 2,English,0
Source 2,German,13
Source 2,French,175
Source 2,Italian,12
Source 2,Spanish,2
Source 2,Portuguese,0
Source 2,Russian,0
Source 2,Dutch,0
Source 2,Arabic,0
Source 2,Turkish,0
Source 2,Chinese (simplified),0
Source 2,Chinese (traditional),0
Source 2,Swedish,0
Source 2,Danish,0
Source 2,Finish,0
Source 2,Norwegian,0
Source 3,English,0
Source 3,German,0
Source 3,French,0
Source 3,Italian,0
Source 3,Spanish,0
Source 3,Portuguese,0
Source 3,Russian,0
Source 3,Dutch,0
Source 3,Arabic,0
Source 3,Turkish,0
Source 3,Chinese (simplified),0
Source 3,Chinese (traditional),0
Source 3,Swedish,5477
Source 3,Danish,223
Source 3,Finish,13
Source 3,Norwegian,2
Source 4,English,0
Source 4,German,0
Source 4,French,0
Source 4,Italian,0
Source 4,Spanish,0
Source 4,Portuguese,0
Source 4,Russian,4436
Source 4,Dutch,0
Source 4,Arabic,2
Source 4,Turkish,0
Source 4,Chinese (simplified),140
Source 4,Chinese (traditional),13
Source 4,Swedish,0
Source 4,Danish,0
Source 4,Finish,0
Source 4,Norwegian,0
Source 5,English,10443
Source 5,German,0
Source 5,French,0
Source 5,Italian,1443
Source 5,Spanish,332
Source 5,Portuguese,665
Source 5,Russian,0
Source 5,Dutch,0
Source 5,Arabic,0
Source 5,Turkish,0
Source 5,Chinese (simplified),0
Source 5,Chinese (traditional),0
Source 5,Swedish,0
Source 5,Danish,0
Source 5,Finish,0
Source 5,Norwegian,0
